plan_id,num_rooms,gross_area,usable_area,efficiency,corridor_ratio,avg_room_area,std_room_area,rooms_with_window_ratio,external_wall_ratio,cross_ventilation_ratio,window_wall_ratio
1,14,104.82371272500001,101.73917420500001,0.9705740386424574,0.029425961357542534,7.487408051785715,6.09637812133531,0.5,0.43243243243243246,0.0,0.02053195201782539
10,19,107.85889589000006,98.73595793000005,0.9154178439829012,0.0845821560170988,5.676783994210529,4.771693943276632,0.5263157894736842,0.34375,0.21052631578947367,0.021647977950574306
1000,19,254.35604826999992,237.5377119899999,0.9338787640616775,0.0661212359383225,13.38716043526315,13.471282271514061,0.631578947368421,0.16666666666666666,0.21052631578947367,0.023561853711606188
10000,10,43.65059912999999,43.65059912999999,1.0,0.0,4.365059913,5.826020350638137,0.4,0.3333333333333333,0.0,0.04896450547298581
10001,12,85.27512330500001,80.35293603500003,0.9422787434455533,0.05772125655444671,7.106260275416667,7.825295871874995,0.5833333333333334,0.3181818181818182,0.3333333333333333,0.019376746065673543
10002,14,130.43826060999996,123.18018983999998,0.9443562744852829,0.055643725514717156,9.317018614999997,8.289956547951954,0.5714285714285714,0.3684210526315789,0.14285714285714285,0.01796847020988505
10004,8,62.610186039999995,57.07054812999999,0.9115217784776926,0.08847822152230747,7.826273254999999,5.742102393054626,0.5,0.375,0.0,0.02282728155586228
10006,15,133.95072999500002,127.34490036500002,0.9506846313547781,0.049315368645221874,8.930048666333334,8.446155335271337,0.6,0.4,0.0,0.021254270134296965
10007,13,139.37471566500008,131.6667127050001,0.9446958300634178,0.05530416993658224,10.721131974230776,8.691947243557404,0.5384615384615384,0.3333333333333333,0.15384615384615385,0.01768966478773683
10008,23,225.7035990449999,222.7211298749999,0.9867859033590095,0.013214096640990538,9.813199958478256,7.540456769697991,0.6521739130434783,0.2857142857142857,0.13043478260869565,0.032288776212855315
10010,4,35.77385138,35.77385138,1.0,0.0,8.943462845,6.946517581602147,0.25,0.5,0.0,0.018552880788537566
10013,19,210.95494111999992,165.92447872999995,0.786539902071387,0.21346009792861298,11.102891637894732,7.842966059279337,0.7894736842105263,0.3829787234042553,0.47368421052631576,0.03011194222934356
10014,6,57.417678439999996,49.932762049999994,0.8696409086302306,0.13035909136976942,9.569613073333333,5.385101053902566,0.3333333333333333,0.5333333333333333,0.0,0.021982776634185377
